,title,director,duration,genre
0,The Shawshank Redemption,Frank Darabont,2:22,['Drama']
1,The Godfather,Francis Ford Coppola,2:55,"['Crime', 'Drama']"
2,The Godfather: Part II,Francis Ford Coppola,3:22,"['Crime', 'Drama']"
3,The Dark Knight,Christopher Nolan,2:32,"['Action', 'Crime', 'Drama']"
4,De 12 gezworenen,Sidney Lumet,1:36,"['Crime', 'Drama']"
5,Schindler's List,Steven Spielberg,3:15,"['Biography', 'Drama', 'History']"
6,The Lord of the Rings: The Return of the King,Peter Jackson,3:21,"['Action', 'Adventure', 'Drama']"
7,Pulp Fiction,Quentin Tarantino,2:34,"['Crime', 'Drama']"
8,"The Good, the Bad and the Ugly",Sergio Leone,2:41,"['Adventure', 'Western']"
9,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2:58,"['Action', 'Adventure', 'Drama']"
10,Fight Club,David Fincher,2:19,['Drama']
11,Forrest Gump,Robert Zemeckis,2:22,"['Drama', 'Romance']"
12,Inception,Christopher Nolan,2:28,"['Action', 'Adventure', 'Sci-Fi']"
13,The Lord of the Rings: The Two Towers,Peter Jackson,2:59,"['Action', 'Adventure', 'Drama']"
14,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,2:4,"['Action', 'Adventure', 'Fantasy']"
15,The Matrix,Lana Wachowski,2:16,"['Action', 'Sci-Fi']"
16,Goodfellas,Martin Scorsese,2:26,"['Biography', 'Crime', 'Drama']"
17,One Flew Over the Cuckoo's Nest,Milos Forman,2:13,['Drama']
18,Shichinin no samurai,Akira Kurosawa,3:27,"['Action', 'Drama']"
19,Seven,David Fincher,2:7,"['Crime', 'Drama', 'Mystery']"
20,The Silence of the Lambs,Jonathan Demme,1:58,"['Crime', 'Drama', 'Thriller']"
21,Cidade de Deus,Fernando Meirelles,2:10,"['Crime', 'Drama']"
22,Het leven is mooi,Roberto Benigni,1:56,"['Comedy', 'Drama', 'Romance']"
23,It's a Wonderful Life,Frank Capra,2:10,"['Comedy', 'Drama', 'Family']"
24,Spider-Man: No Way Home,Jon Watts,2:28,"['Action', 'Adventure', 'Fantasy']"
25,Saving Private Ryan,Steven Spielberg,2:49,"['Drama', 'War']"
26,Star Wars: Episode IV - A New Hope,George Lucas,2:1,"['Action', 'Adventure', 'Fantasy']"
27,Interstellar,Christopher Nolan,2:49,"['Adventure', 'Drama', 'Sci-Fi']"
28,Spirited Away,Hayao Miyazaki,2:5,"['Animation', 'Adventure', 'Family']"
29,The Green Mile,Frank Darabont,3:9,"['Crime', 'Drama', 'Fantasy']"
30,Gisaengchung,Bong Joon Ho,2:12,"['Comedy', 'Drama', 'Thriller']"
31,Léon,Luc Besson,1:50,"['Action', 'Crime', 'Drama']"
32,Seppuku,Masaki Kobayashi,2:13,"['Action', 'Drama', 'Mystery']"
33,The Pianist,Roman Polanski,2:30,"['Biography', 'Drama', 'Music']"
34,Terminator 2: Judgment Day,James Cameron,2:17,"['Action', 'Sci-Fi']"
35,Terug naar de toekomst,Robert Zemeckis,1:56,"['Adventure', 'Comedy', 'Sci-Fi']"
36,The Usual Suspects,Bryan Singer,1:46,"['Crime', 'Drama', 'Mystery']"
37,Psycho,Alfred Hitchcock,1:49,"['Horror', 'Mystery', 'Thriller']"
38,The Lion King,Roger Allers,1:28,"['Animation', 'Adventure', 'Drama']"
39,Modern Times,Charles Chaplin,1:27,"['Comedy', 'Drama', 'Family']"
40,Hotaru no haka,Isao Takahata,1:29,"['Animation', 'Drama', 'War']"
41,American History X,Tony Kaye,1:59,['Drama']
42,Whiplash,Damien Chazelle,1:46,"['Drama', 'Music']"
43,Gladiator,Ridley Scott,2:35,"['Action', 'Adventure', 'Drama']"
44,The Departed,Martin Scorsese,2:31,"['Crime', 'Drama', 'Thriller']"
45,City Lights,Charles Chaplin,1:27,"['Comedy', 'Drama', 'Romance']"
46,Intouchables,Olivier Nakache,1:52,"['Biography', 'Comedy', 'Drama']"
47,The Prestige,Christopher Nolan,2:10,"['Drama', 'Mystery', 'Thriller']"
48,Casablanca,Michael Curtiz,1:42,"['Drama', 'Romance', 'War']"
49,C'era una volta il West,Sergio Leone,2:45,['Western']
50,Rear Window,Alfred Hitchcock,1:52,"['Mystery', 'Thriller']"
51,Nuovo Cinema Paradiso,Giuseppe Tornatore,2:35,"['Drama', 'Romance']"
52,Alien,Ridley Scott,1:57,"['Horror', 'Sci-Fi']"
53,Apocalypse Now,Francis Ford Coppola,2:27,"['Drama', 'Mystery', 'War']"
54,Memento,Christopher Nolan,1:53,"['Mystery', 'Thriller']"
55,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,1:55,"['Action', 'Adventure']"
56,De dictator,Charles Chaplin,2:5,"['Comedy', 'Drama', 'War']"
57,Django Unchained,Quentin Tarantino,2:45,"['Drama', 'Western']"
58,Das Leben der Anderen,Florian Henckel von Donnersmarck,2:17,"['Drama', 'Mystery', 'Thriller']"
59,Het veld van eer,Stanley Kubrick,1:28,"['Drama', 'War']"
60,Sunset Boulevard,Billy Wilder,1:50,"['Drama', 'Film-Noir']"
61,WALL·E,Andrew Stanton,1:38,"['Animation', 'Adventure', 'Family']"
62,Avengers: Infinity War,Anthony Russo,2:29,"['Action', 'Adventure', 'Sci-Fi']"
63,Witness for the Prosecution,Billy Wilder,1:56,"['Crime', 'Drama', 'Mystery']"
64,Spider-Man: Een nieuw universum,Bob Persichetti,1:57,"['Animation', 'Action', 'Adventure']"
65,The Shining,Stanley Kubrick,2:26,"['Drama', 'Horror']"
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1:35,"['Comedy', 'War']"
67,Mononoke-hime,Hayao Miyazaki,2:14,"['Animation', 'Action', 'Adventure']"
68,Oldeuboi,Park Chan-wook,2,"['Action', 'Drama', 'Mystery']"
69,Joker,Todd Phillips,2:2,"['Crime', 'Drama', 'Thriller']"
70,Kimi no na wa.,Makoto Shinkai,1:46,"['Animation', 'Drama', 'Fantasy']"
71,Coco,Lee Unkrich,1:45,"['Animation', 'Adventure', 'Comedy']"
72,The Dark Knight Rises,Christopher Nolan,2:44,"['Action', 'Crime', 'Drama']"
73,Aliens,James Cameron,2:17,"['Action', 'Adventure', 'Sci-Fi']"
74,Once Upon a Time in America,Sergio Leone,3:49,"['Crime', 'Drama']"
75,Avengers: Endgame,Anthony Russo,3:1,"['Action', 'Adventure', 'Drama']"
76,Capharnaüm,Nadine Labaki,2:6,['Drama']
77,Das Boot,Wolfgang Petersen,2:29,"['Drama', 'War']"
78,Tengoku to jigoku,Akira Kurosawa,2:23,"['Crime', 'Drama', 'Mystery']"
79,Toy Story,John Lasseter,1:21,"['Animation', 'Adventure', 'Comedy']"
80,Amadeus,Milos Forman,2:40,"['Biography', 'Drama', 'Music']"
81,American Beauty,Sam Mendes,2:2,['Drama']
82,Braveheart,Mel Gibson,2:58,"['Biography', 'Drama', 'History']"
83,Inglourious Basterds,Quentin Tarantino,2:33,"['Adventure', 'Drama', 'War']"
84,Good Will Hunting,Gus Van Sant,2:6,"['Drama', 'Romance']"
85,Hamilton,Thomas Kail,2:40,"['Biography', 'Drama', 'History']"
86,Idi i smotri,Elem Klimov,2:22,"['Drama', 'Thriller', 'War']"
87,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,2:11,"['Action', 'Adventure', 'Fantasy']"
88,2001: Een zwerftocht in de ruimte,Stanley Kubrick,2:29,"['Adventure', 'Sci-Fi']"
89,Reservoir Dogs,Quentin Tarantino,1:39,"['Crime', 'Drama', 'Thriller']"
90,Taare Zameen Par,Aamir Khan,2:45,"['Drama', 'Family']"
91,Vertigo,Alfred Hitchcock,2:8,"['Mystery', 'Romance', 'Thriller']"
92,M - Eine Stadt sucht einen Mörder,Fritz Lang,1:57,"['Crime', 'Mystery', 'Thriller']"
93,Jagten,Thomas Vinterberg,1:55,['Drama']
94,Citizen Kane,Orson Welles,1:59,"['Drama', 'Mystery']"
95,Requiem for a Dream,Darren Aronofsky,1:42,['Drama']
96,Singin' in the Rain,Stanley Donen,1:43,"['Comedy', 'Musical', 'Romance']"
97,North by Northwest,Alfred Hitchcock,2:16,"['Adventure', 'Mystery', 'Thriller']"
98,Ikiru,Akira Kurosawa,2:23,['Drama']
99,Eternal Sunshine of the Spotless Mind,Michel Gondry,1:48,"['Drama', 'Romance', 'Sci-Fi']"
100,Ladri di biciclette,Vittorio De Sica,1:29,['Drama']
101,Lawrence of Arabia,David Lean,3:48,"['Adventure', 'Biography', 'Drama']"
102,The Kid,Charles Chaplin,1:8,"['Comedy', 'Drama', 'Family']"
103,Full Metal Jacket,Stanley Kubrick,1:56,"['Drama', 'War']"
104,Incendies,Denis Villeneuve,2:11,"['Drama', 'Mystery', 'War']"
105,Dangal,Nitesh Tiwari,2:41,"['Action', 'Biography', 'Drama']"
106,Het appartement,Billy Wilder,2:5,"['Comedy', 'Drama', 'Romance']"
107,Double Indemnity,Billy Wilder,1:47,"['Crime', 'Drama', 'Film-Noir']"
108,Metropolis,Fritz Lang,2:33,"['Drama', 'Sci-Fi']"
109,A Clockwork Orange,Stanley Kubrick,2:16,"['Crime', 'Sci-Fi']"
110,Taxi Driver,Martin Scorsese,1:54,"['Crime', 'Drama']"
111,The Father,Florian Zeller,1:37,"['Drama', 'Mystery']"
112,The Sting,George Roy Hill,2:9,"['Comedy', 'Crime', 'Drama']"
113,A Separation,Asghar Farhadi,2:3,['Drama']
114,Scarface,Brian De Palma,2:50,"['Crime', 'Drama']"
115,Snatch,Guy Ritchie,1:44,"['Comedy', 'Crime']"
116,1917,Sam Mendes,1:59,"['Action', 'Drama', 'War']"
117,Le fabuleux destin d'Amélie Poulain,Jean-Pierre Jeunet,2:2,"['Comedy', 'Romance']"
118,To Kill a Mockingbird,Robert Mulligan,2:9,"['Crime', 'Drama']"
119,Toy Story 3,Lee Unkrich,1:43,"['Animation', 'Adventure', 'Comedy']"
120,For a Few Dollars More,Sergio Leone,2:12,['Western']
121,Up,Pete Docter,1:36,"['Animation', 'Adventure', 'Comedy']"
122,Pather Panchali,Satyajit Ray,2:5,['Drama']
123,Indiana Jones and the Last Crusade,Steven Spielberg,2:7,"['Action', 'Adventure']"
124,Heat,Michael Mann,2:50,"['Action', 'Crime', 'Drama']"
125,L.A. Confidential,Curtis Hanson,2:18,"['Crime', 'Drama', 'Mystery']"
126,Ran,Akira Kurosawa,2:42,"['Action', 'Drama', 'War']"
127,Die Hard,John McTiernan,2:12,"['Action', 'Thriller']"
128,Green Book,Peter Farrelly,2:10,"['Biography', 'Comedy', 'Drama']"
129,Rashômon,Akira Kurosawa,1:28,"['Crime', 'Drama', 'Mystery']"
130,Der Untergang,Oliver Hirschbiegel,2:36,"['Biography', 'Drama', 'History']"
131,All About Eve,Joseph L. Mankiewicz,2:18,['Drama']
132,Monty Python and the Holy Grail,Terry Gilliam,1:31,"['Adventure', 'Comedy', 'Fantasy']"
133,Some Like It Hot,Billy Wilder,2:1,"['Comedy', 'Music', 'Romance']"
134,Batman Begins,Christopher Nolan,2:20,"['Action', 'Crime', 'Drama']"
135,Unforgiven,Clint Eastwood,2:10,"['Drama', 'Western']"
136,Jai Bhim,T.J. Gnanavel,2:44,"['Crime', 'Drama']"
137,Bacheha-Ye aseman,Majid Majidi,1:29,"['Drama', 'Family', 'Sport']"
138,Hauru no ugoku shiro,Hayao Miyazaki,1:59,"['Animation', 'Adventure', 'Family']"
139,The Wolf of Wall Street,Martin Scorsese,3,"['Biography', 'Comedy', 'Crime']"
140,Oordeel te Neurenberg,Stanley Kramer,2:59,"['Drama', 'War']"
141,There Will Be Blood,Paul Thomas Anderson,2:38,['Drama']
142,Casino,Martin Scorsese,2:58,"['Crime', 'Drama']"
143,The Great Escape,John Sturges,2:52,"['Adventure', 'Drama', 'History']"
144,The Treasure of the Sierra Madre,John Huston,2:6,"['Adventure', 'Drama', 'Western']"
145,Pan's Labyrinth,Guillermo del Toro,1:58,"['Drama', 'Fantasy', 'War']"
146,A Beautiful Mind,Ron Howard,2:15,"['Biography', 'Drama']"
147,El secreto de sus ojos,Juan José Campanella,2:9,"['Drama', 'Mystery', 'Romance']"
148,Raging Bull,Martin Scorsese,2:9,"['Biography', 'Drama', 'Sport']"
149,Chinatown,Roman Polanski,2:10,"['Drama', 'Mystery', 'Thriller']"
150,Tonari no Totoro,Hayao Miyazaki,1:26,"['Animation', 'Comedy', 'Family']"
151,Shutter Island,Martin Scorsese,2:18,"['Mystery', 'Thriller']"
152,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,1:47,"['Action', 'Comedy', 'Crime']"
153,No Country for Old Men,Ethan Coen,2:2,"['Crime', 'Drama', 'Thriller']"
154,Klaus,Sergio Pablos,1:36,"['Animation', 'Adventure', 'Comedy']"
155,Dial M for Murder,Alfred Hitchcock,1:45,"['Crime', 'Thriller']"
156,The Thing,John Carpenter,1:49,"['Horror', 'Mystery', 'Sci-Fi']"
157,The Gold Rush,Charles Chaplin,1:35,"['Adventure', 'Comedy', 'Drama']"
158,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,1:55,"['Comedy', 'Crime', 'Drama']"
159,Det sjunde inseglet,Ingmar Bergman,1:36,"['Drama', 'Fantasy', 'History']"
160,The Elephant Man,David Lynch,2:4,"['Biography', 'Drama']"
161,The Sixth Sense,M. Night Shyamalan,1:47,"['Drama', 'Mystery', 'Thriller']"
162,Dersu Uzala,Akira Kurosawa,2:22,"['Adventure', 'Biography', 'Drama']"
163,Jurassic Park,Steven Spielberg,2:7,"['Action', 'Adventure', 'Sci-Fi']"
164,The Truman Show,Peter Weir,1:43,"['Comedy', 'Drama']"
165,Smultronstället,Ingmar Bergman,1:31,"['Drama', 'Romance']"
166,The Third Man,Carol Reed,1:44,"['Film-Noir', 'Mystery', 'Thriller']"
167,Salinui chueok,Bong Joon Ho,2:11,"['Crime', 'Drama', 'Mystery']"
168,V for Vendetta,James McTeigue,2:12,"['Action', 'Drama', 'Sci-Fi']"
169,Blade Runner,Ridley Scott,1:57,"['Action', 'Drama', 'Sci-Fi']"
170,Trainspotting,Danny Boyle,1:33,['Drama']
171,Fargo,Joel Coen,1:38,"['Crime', 'Thriller']"
172,The Bridge on the River Kwai,David Lean,2:41,"['Adventure', 'Drama', 'War']"
173,Binnenstebuiten,Pete Docter,1:35,"['Animation', 'Adventure', 'Comedy']"
174,Finding Nemo,Andrew Stanton,1:40,"['Animation', 'Adventure', 'Comedy']"
175,Kill Bill: Vol. 1,Quentin Tarantino,1:51,"['Action', 'Crime', 'Drama']"
176,Warrior,Gavin O'Connor,2:20,"['Action', 'Drama', 'Sport']"
177,Gejaagd door de wind,Victor Fleming,3:58,"['Drama', 'History', 'Romance']"
178,Tôkyô monogatari,Yasujirô Ozu,2:16,['Drama']
179,On the Waterfront,Elia Kazan,1:48,"['Crime', 'Drama', 'Thriller']"
180,Babam ve Oglum,Cagan Irmak,1:52,"['Drama', 'Family']"
181,Relatos salvajes,Damián Szifron,2:2,"['Comedy', 'Drama', 'Thriller']"
182,Prisoners,Denis Villeneuve,2:33,"['Crime', 'Drama', 'Mystery']"
183,Stalker,Andrei Tarkovsky,2:42,"['Drama', 'Sci-Fi']"
184,The Grand Budapest Hotel,Wes Anderson,1:39,"['Adventure', 'Comedy', 'Crime']"
185,The Deer Hunter,Michael Cimino,3:3,"['Drama', 'War']"
186,The General,Clyde Bruckman,1:7,"['Action', 'Adventure', 'Comedy']"
187,Gran Torino,Clint Eastwood,1:56,['Drama']
188,Sherlock Jr.,Buster Keaton,45,"['Action', 'Comedy', 'Romance']"
189,Before Sunrise,Richard Linklater,1:41,"['Drama', 'Romance']"
190,Mary and Max.,Adam Elliot,1:32,"['Animation', 'Comedy', 'Drama']"
191,Catch Me If You Can,Steven Spielberg,2:21,"['Biography', 'Crime', 'Drama']"
192,Mr. Smith Goes to Washington,Frank Capra,2:9,"['Comedy', 'Drama']"
193,Barry Lyndon,Stanley Kubrick,3:5,"['Adventure', 'Drama', 'History']"
194,In the Name of the Father,Jim Sheridan,2:13,"['Biography', 'Crime', 'Drama']"
195,Dune,Denis Villeneuve,2:35,"['Action', 'Adventure', 'Drama']"
196,Hacksaw Ridge,Mel Gibson,2:19,"['Biography', 'Drama', 'History']"
197,Gone Girl,David Fincher,2:29,"['Drama', 'Mystery', 'Thriller']"
198,Z,Costa-Gavras,2:7,"['Crime', 'Drama', 'History']"
199,Room,Lenny Abrahamson,1:58,"['Drama', 'Thriller']"
200,Andhadhun,Sriram Raghavan,2:19,"['Comedy', 'Crime', 'Music']"
201,La passion de Jeanne d'Arc,Carl Theodor Dreyer,1:50,"['Biography', 'Drama', 'History']"
202,Le Mans '66,James Mangold,2:32,"['Action', 'Biography', 'Drama']"
203,12 Years a Slave,Steve McQueen,2:14,"['Biography', 'Drama', 'History']"
204,Spionnage in het spel,Ernst Lubitsch,1:39,"['Comedy', 'Romance', 'War']"
205,The Big Lebowski,Joel Coen,1:57,"['Comedy', 'Crime', 'Sport']"
206,Dead Poets Society,Peter Weir,2:8,"['Comedy', 'Drama']"
207,Harry Potter and the Deathly Hallows: Part 2,David Yates,2:10,"['Adventure', 'Fantasy', 'Mystery']"
208,Ben Hur,William Wyler,3:32,"['Adventure', 'Drama', 'History']"
209,How to Train Your Dragon,Dean DeBlois,1:38,"['Animation', 'Action', 'Adventure']"
210,Mad Max: Fury Road,George Miller,2,"['Action', 'Adventure', 'Sci-Fi']"
211,Höstsonaten,Ingmar Bergman,1:39,"['Drama', 'Music']"
212,Million Dollar Baby,Clint Eastwood,2:12,"['Drama', 'Sport']"
213,Het loon van de Angst,Henri-Georges Clouzot,2:11,"['Adventure', 'Drama', 'Thriller']"
214,Stand by Me,Rob Reiner,1:29,"['Adventure', 'Drama']"
215,Network,Sidney Lumet,2:1,['Drama']
216,Ah-ga-ssi,Park Chan-wook,2:25,"['Drama', 'Romance', 'Thriller']"
217,Logan,James Mangold,2:17,"['Action', 'Drama', 'Sci-Fi']"
218,La haine,Mathieu Kassovitz,1:38,"['Crime', 'Drama']"
219,Gangs of Wasseypur,Anurag Kashyap,5:21,"['Action', 'Comedy', 'Crime']"
220,Cool Hand Luke,Stuart Rosenberg,2:7,"['Crime', 'Drama']"
221,Koe no katachi,Naoko Yamada,2:10,"['Animation', 'Drama']"
222,Hachi,Lasse Hallström,1:33,"['Biography', 'Drama', 'Family']"
223,Les quatre cents coups,François Truffaut,1:39,"['Crime', 'Drama']"
224,Platoon,Oliver Stone,2,"['Drama', 'War']"
225,Spotlight,Tom McCarthy,2:9,"['Biography', 'Crime', 'Drama']"
226,"Monsters, Inc.",Pete Docter,1:32,"['Animation', 'Adventure', 'Comedy']"
227,Rebecca,Alfred Hitchcock,2:10,"['Drama', 'Film-Noir', 'Mystery']"
228,Monty Python's Life of Brian,Terry Jones,1:34,['Comedy']
229,Fa yeung nin wah,Kar-Wai Wong,1:38,"['Drama', 'Romance']"
230,Eskiya,Yavuz Turgul,2:8,"['Crime', 'Drama', 'Thriller']"
231,Hotel Rwanda,Terry George,2:1,"['Biography', 'Drama', 'History']"
232,Rush,Ron Howard,2:3,"['Action', 'Biography', 'Drama']"
233,Rocky,John G. Avildsen,2,"['Drama', 'Sport']"
234,Amores perros,Alejandro G. Iñárritu,2:34,"['Drama', 'Thriller']"
235,Into the Wild,Sean Penn,2:28,"['Adventure', 'Biography', 'Drama']"
236,Kaze no tani no Naushika,Hayao Miyazaki,1:57,"['Animation', 'Adventure', 'Sci-Fi']"
237,Drishyam,Jeethu Joseph,2:40,"['Crime', 'Drama', 'Thriller']"
238,Before Sunset,Richard Linklater,1:20,"['Drama', 'Romance']"
239,Het gebeurde op 'n avond,Frank Capra,1:45,"['Comedy', 'Romance']"
240,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,1:57,"['Animation', 'Action', 'Adventure']"
